check_id,check_name,expected,actual,status,severity,evidence_path,notes
M001,manifest output_dir equals audited run-dir,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5,PASS,High,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\run_manifest.json,
M002,manifest finetune checkpoint exists,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage2_finetune\checkpoints\best.pt,PASS,Critical,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\run_manifest.json,
M003,manifest finetune checkpoint is run-dir stage2 best.pt,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage2_finetune\checkpoints\best.pt,PASS,High,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\run_manifest.json,
M103,manifest stage_configs.pretrain points inside audited run,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\configs\stage1_pretrain.yaml,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\configs\stage1_pretrain.yaml,PASS,Medium,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\run_manifest.json,
M104,manifest stage_configs.finetune points inside audited run,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\configs\stage2_finetune.yaml,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\configs\stage2_finetune.yaml,PASS,High,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\run_manifest.json,
M105,manifest stage_configs.eval_train points inside audited run,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\configs\stage3_exact_eval_train.yaml,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\configs\stage3_exact_eval_train.yaml,PASS,Medium,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\run_manifest.json,
M020,stage3 exact eval command uses stage2 best checkpoint,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage2_finetune\checkpoints\best.pt,PASS,Critical,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\run_manifest.json,
M021,stage3 eval and candidate metadata use same data config,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,PASS,High,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\run_manifest.json,
M03validation,validation candidate metadata checkpoint matches stage2 best,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage2_finetune\checkpoints\best.pt,PASS,Critical,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\run_manifest.json,metadata key=validation_candidates_metadata
M04validation,validation candidate metadata output file exists,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_validation.csv,PASS,High,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\run_manifest.json,
M03test,test candidate metadata checkpoint matches stage2 best,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage2_finetune\checkpoints\best.pt,PASS,Critical,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\run_manifest.json,metadata key=test_candidates_metadata
M04test,test candidate metadata output file exists,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage4_candidates\top50_candidates_test.csv,PASS,High,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\run_manifest.json,
M05metrics,manifest final_outputs.metrics exists inside run-dir,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\mainline_final_metrics.csv,PASS,High,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\run_manifest.json,
M05metrics_with_sources,manifest final_outputs.metrics_with_sources exists inside run-dir,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\mainline_final_metrics_with_sources.csv,PASS,High,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\run_manifest.json,
M05case_ranks,manifest final_outputs.case_ranks exists inside run-dir,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\mainline_final_case_ranks.csv,PASS,High,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\run_manifest.json,
M06DDD,DDD final source is expected postprocess inside run-dir,ddd_validation_selected_grid_rerank,"{""module_applied"": ""ddd_validation_selected_grid_rerank"", ""source_result_path"": ""D:\\RareDisease-traindata\\outputs\\mainline_full_pipeline_hybrid_tag_v5\\stage5_ddd_rerank\\ddd_val_selected_grid_weights.json""}",PASS,High,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\mainline_final_metrics_with_sources.csv,
M06mimic_test_recleaned_mondo_hpo_rows,mimic_test_recleaned_mondo_hpo_rows final source is expected postprocess inside run-dir,similar_case_fixed_test,"{""module_applied"": ""similar_case_fixed_test"", ""source_result_path"": ""D:\\RareDisease-traindata\\outputs\\mainline_full_pipeline_hybrid_tag_v5\\stage6_mimic_similar_case\\similar_case_fixed_test.csv""}",PASS,High,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\mainline_final_metrics_with_sources.csv,
